cohort_id,path,relative_path,case_id,label,class_name,fold,cohort_name,prediction,confidence,correct,model,seed,predicted_class_name,logit_0_01_tumor,probability_0_01_tumor,logit_1_02_stroma,probability_1_02_stroma,logit_2_03_complex,probability_2_03_complex,logit_3_04_lympho,probability_3_04_lympho,logit_4_05_debris,probability_4_05_debris,logit_5_06_mucosa,probability_5_06_mucosa,logit_6_07_adipose,probability_6_07_adipose,logit_7_08_empty,probability_7_08_empty,all_models_correct,confidence_group,target_role,target_class,analysis_family
05ec55e971259ba8,Colorectal Histology MNIST/Kather_texture_2016_image_tiles_5000/Kather_texture_2016_image_tiles_5000/04_LYMPHO/8D82_CRC-Prim-HE-01_005.tif_Row_301_Col_601.tif,04_LYMPHO/8D82_CRC-Prim-HE-01_005.tif_Row_301_Col_601.tif,CRC-Prim-HE-01,3,04_LYMPHO,0,repeat_calibration_16,3,0.9964573979377748,True,DINOv2,89,04_LYMPHO,-2.1361210346221924,8.439879457000643e-05,-3.71904730796814,1.7333260984742083e-05,0.1470844000577926,0.0008277892484329,7.24028730392456,0.9964573979377748,0.9687530994415284,0.0018826350569725,0.0039405021816492,0.000717386661563,-4.677448749542236,6.647399004577892e-06,-4.716275215148926,6.39425297777052e-06,True,high,true_class,3,primary_jointly_correct_true_class
05ec55e971259ba8,Colorectal Histology MNIST/Kather_texture_2016_image_tiles_5000/Kather_texture_2016_image_tiles_5000/04_LYMPHO/8D82_CRC-Prim-HE-01_005.tif_Row_301_Col_601.tif,04_LYMPHO/8D82_CRC-Prim-HE-01_005.tif_Row_301_Col_601.tif,CRC-Prim-HE-01,3,04_LYMPHO,0,repeat_calibration_16,3,0.9999971389770508,True,ResNet18,89,04_LYMPHO,-3.3830349445343018,4.8443030919997916e-08,-3.5566017627716064,4.072416359690578e-08,0.2557511627674103,1.8430457657814257e-06,13.459839820861816,0.9999971389770508,-1.2215372323989868,4.20685523749853e-07,-1.0986217260360718,4.757068268190778e-07,-3.863009452819824,2.9976497728512186e-08,-4.145098686218262,2.260846798662897e-08,True,high,true_class,3,primary_jointly_correct_true_class
05ec55e971259ba8,Colorectal Histology MNIST/Kather_texture_2016_image_tiles_5000/Kather_texture_2016_image_tiles_5000/04_LYMPHO/8D82_CRC-Prim-HE-01_005.tif_Row_301_Col_601.tif,04_LYMPHO/8D82_CRC-Prim-HE-01_005.tif_Row_301_Col_601.tif,CRC-Prim-HE-01,3,04_LYMPHO,0,repeat_calibration_16,3,0.99559915,True,UNI,89,04_LYMPHO,-1.5121499,0.00047662904,-1.6786325,0.0004035319,-0.5867543,0.0012024711,6.1322117,0.99559915,-2.3706427,0.00020199554,-0.216485,0.001741328,-2.101942,0.0002642634,-2.9730418,0.00011059189,True,middle,true_class,3,primary_jointly_correct_true_class
0c403259b484b95d,Colorectal Histology MNIST/Kather_texture_2016_image_tiles_5000/Kather_texture_2016_image_tiles_5000/06_MUCOSA/1AFF_CRC-Prim-HE-09_001.tif_Row_451_Col_151.tif,06_MUCOSA/1AFF_CRC-Prim-HE-09_001.tif_Row_451_Col_151.tif,CRC-Prim-HE-09,5,06_MUCOSA,8,repeat_calibration_16,5,0.9593361616134644,True,DINOv2,89,06_MUCOSA,2.760449171066284,0.0339926667511463,-2.6712896823883057,0.0001487342960899,0.9333085417747498,0.0054684998467564,-2.470360517501831,0.000181833282113,-0.977983057498932,0.0008087322930805,6.100545883178711,0.9593361616134644,-3.693224668502808,5.3529132856056094e-05,-5.387022018432617,9.839736776484642e-06,True,middle,true_class,5,primary_jointly_correct_true_class
0c403259b484b95d,Colorectal Histology MNIST/Kather_texture_2016_image_tiles_5000/Kather_texture_2016_image_tiles_5000/06_MUCOSA/1AFF_CRC-Prim-HE-09_001.tif_Row_451_Col_151.tif,06_MUCOSA/1AFF_CRC-Prim-HE-09_001.tif_Row_451_Col_151.tif,CRC-Prim-HE-09,5,06_MUCOSA,8,repeat_calibration_16,5,0.999988317489624,True,ResNet18,89,06_MUCOSA,-1.4549113512039185,4.1963360786212434e-07,-6.01273250579834,4.399806741162138e-09,-3.4327657222747803,5.8062973096184585e-08,1.3275763988494873,6.780931926186895e-06,-1.4121332168579102,4.379741653792736e-07,13.228960990905762,0.999988317489624,0.7996437549591064,3.99954797103419e-06,-3.634488582611084,4.7456097718168166e-08,True,high,true_class,5,primary_jointly_correct_true_class
0c403259b484b95d,Colorectal Histology MNIST/Kather_texture_2016_image_tiles_5000/Kather_texture_2016_image_tiles_5000/06_MUCOSA/1AFF_CRC-Prim-HE-09_001.tif_Row_451_Col_151.tif,06_MUCOSA/1AFF_CRC-Prim-HE-09_001.tif_Row_451_Col_151.tif,CRC-Prim-HE-09,5,06_MUCOSA,8,repeat_calibration_16,5,0.9993537,True,UNI,89,06_MUCOSA,-0.36907652,0.00024970487,-1.5930313,7.342948e-05,-1.7756468,6.117321e-05,-0.5181755,0.00021511686,-2.9743576,1.8448793e-05,7.9255075,0.9993537,-2.7363014,2.3407469e-05,-4.2687435,5.0561885e-06,True,high,true_class,5,primary_jointly_correct_true_class
23c05114b1f1297a,Colorectal Histology MNIST/Kather_texture_2016_image_tiles_5000/Kather_texture_2016_image_tiles_5000/02_STROMA/10EF2_CRC-Prim-HE-06_002.tif_Row_301_Col_1801.tif,02_STROMA/10EF2_CRC-Prim-HE-06_002.tif_Row_301_Col_1801.tif,CRC-Prim-HE-06,1,02_STROMA,5,repeat_calibration_16,1,0.5103476047515869,True,DINOv2,89,02_STROMA,0.7631617188453674,0.0669318363070488,2.794579029083252,0.5103476047515869,2.231381416320801,0.2905845046043396,1.1557954549789429,0.0991177484393119,-0.1624136120080948,0.0265253111720085,-1.6959130764007568,0.0057236128486692,-3.7353692054748535,0.0007446387317031,-7.136017322540283,2.4834927899064496e-05,True,low,true_class,1,primary_jointly_correct_true_class
23c05114b1f1297a,Colorectal Histology MNIST/Kather_texture_2016_image_tiles_5000/Kather_texture_2016_image_tiles_5000/02_STROMA/10EF2_CRC-Prim-HE-06_002.tif_Row_301_Col_1801.tif,02_STROMA/10EF2_CRC-Prim-HE-06_002.tif_Row_301_Col_1801.tif,CRC-Prim-HE-06,1,02_STROMA,5,repeat_calibration_16,1,0.9979169964790344,True,ResNet18,89,02_STROMA,0.0740404650568962,0.000613494135905,7.468295097351074,0.9979169964790344,-0.377567321062088,0.0003905527119059,-1.905524492263794,8.474155038129538e-05,-0.5813037753105164,0.0003185650275554,-5.192618370056152,3.166136139043374e-06,0.0501654222607612,0.0005990205681882,-2.048579454421997,7.344604819081724e-05,True,middle,true_class,1,primary_jointly_correct_true_class
23c05114b1f1297a,Colorectal Histology MNIST/Kather_texture_2016_image_tiles_5000/Kather_texture_2016_image_tiles_5000/02_STROMA/10EF2_CRC-Prim-HE-06_002.tif_Row_301_Col_1801.tif,02_STROMA/10EF2_CRC-Prim-HE-06_002.tif_Row_301_Col_1801.tif,CRC-Prim-HE-06,1,02_STROMA,5,repeat_calibration_16,1,0.9993672,True,UNI,89,02_STROMA,-1.30074,0.00013474784,7.6107326,0.9993672,-0.23610534,0.00039073892,-3.522684,1.46064085e-05,-2.7142994,3.2780874e-05,-3.0043893,2.4526538e-05,-3.3200123,1.7888042e-05,-3.3373232,1.7581062e-05,True,high,true_class,1,primary_jointly_correct_true_class
3461675807569ebd,Colorectal Histology MNIST/Kather_texture_2016_image_tiles_5000/Kather_texture_2016_image_tiles_5000/02_STROMA/10625_CRC-Prim-HE-05_009b.tif_Row_151_Col_1501.tif,02_STROMA/10625_CRC-Prim-HE-05_009b.tif_Row_151_Col_1501.tif,CRC-Prim-HE-05,1,02_STROMA,4,repeat_calibration_16,1,0.7546685338020325,True,DINOv2,89,02_STROMA,-3.730037689208984,0.0003712235193233,3.8871917724609375,0.7546685338020325,1.8409301042556765,0.0975160375237464,2.1094183921813965,0.1275496035814285,-0.1255153119564056,0.013647704385221,-0.9162377119064332,0.0061894669197499,-5.789040565490723,4.736111441161484e-05,-7.344842910766602,9.994142601499334e-06,True,middle,true_class,1,primary_jointly_correct_true_class
