cohort_id,path,case_id,class_name,true_class,model,fold,cohort_stratum,seed_count,correct_rate_across_seeds,all_seeds_correct,any_seed_incorrect,modal_prediction_agreement,pairwise_prediction_agreement,mean_predicted_class_spearman_same_prediction,mean_common_true_class_spearman
00fdaf01f42318eb,Colorectal Histology MNIST/Kather_texture_2016_image_tiles_5000/Kather_texture_2016_image_tiles_5000/03_COMPLEX/10BA2_CRC-Prim-HE-09_028.tif_Row_1_Col_151.tif,CRC-Prim-HE-09,03_COMPLEX,2,DINOv2,8,incorrect_any_model,10,1.0,True,False,1.0,1.0,0.9907513805990965,0.9907513805990965
0182d47bc6239a0a,Colorectal Histology MNIST/Kather_texture_2016_image_tiles_5000/Kather_texture_2016_image_tiles_5000/04_LYMPHO/5945_CRC-Prim-HE-10c.tif_Row_1_Col_151.tif,CRC-Prim-HE-10,04_LYMPHO,3,DINOv2,9,correct_high_confidence,10,1.0,True,False,1.0,1.0,0.9951736185818855,0.9951736185818855
055885cb26f57d55,Colorectal Histology MNIST/Kather_texture_2016_image_tiles_5000/Kather_texture_2016_image_tiles_5000/05_DEBRIS/10713_CRC-Prim-HE-09_004.tif_Row_301_Col_1.tif,CRC-Prim-HE-09,05_DEBRIS,4,DINOv2,8,incorrect_any_model,10,0.3,False,True,0.7,0.5333333333333333,0.9929720931715131,0.9913761011367975
0563036f6d233d97,Colorectal Histology MNIST/Kather_texture_2016_image_tiles_5000/Kather_texture_2016_image_tiles_5000/04_LYMPHO/58BD_CRC-Prim-HE-08_011.tif_Row_301_Col_1.tif,CRC-Prim-HE-08,04_LYMPHO,3,DINOv2,7,correct_high_confidence,10,1.0,True,False,1.0,1.0,0.9966868809218339,0.9966868809218339
05911fcf995a92b8,Colorectal Histology MNIST/Kather_texture_2016_image_tiles_5000/Kather_texture_2016_image_tiles_5000/08_EMPTY/145CC_CRC-Prim-HE-06_005.tif_Row_4351_Col_6151.tif,CRC-Prim-HE-06,08_EMPTY,7,DINOv2,5,incorrect_any_model,10,0.0,False,True,1.0,1.0,0.9885999746768421,0.9948631177057573
05ec55e971259ba8,Colorectal Histology MNIST/Kather_texture_2016_image_tiles_5000/Kather_texture_2016_image_tiles_5000/04_LYMPHO/8D82_CRC-Prim-HE-01_005.tif_Row_301_Col_601.tif,CRC-Prim-HE-01,04_LYMPHO,3,DINOv2,0,correct_high_confidence,10,1.0,True,False,1.0,1.0,0.9959916805457052,0.9959916805457052
061bb79d23160ee1,Colorectal Histology MNIST/Kather_texture_2016_image_tiles_5000/Kather_texture_2016_image_tiles_5000/03_COMPLEX/659E_CRC-Prim-HE-06_028.tif_Row_151_Col_601.tif,CRC-Prim-HE-06,03_COMPLEX,2,DINOv2,5,incorrect_any_model,10,0.0,False,True,1.0,1.0,0.9823637839881497,0.9823183085547119
08b7807e7f30af2b,Colorectal Histology MNIST/Kather_texture_2016_image_tiles_5000/Kather_texture_2016_image_tiles_5000/02_STROMA/115D2_CRC-Prim-HE-03_013.tif_Row_1_Col_1.tif,CRC-Prim-HE-03,02_STROMA,1,DINOv2,2,correct_low_confidence,10,0.9,False,True,0.9,0.8,0.9886291494340806,0.9890239162175348
09ada73a877f5a27,Colorectal Histology MNIST/Kather_texture_2016_image_tiles_5000/Kather_texture_2016_image_tiles_5000/02_STROMA/13E36_CRC-Prim-HE-09_017.tif_Row_151_Col_601.tif,CRC-Prim-HE-09,02_STROMA,1,DINOv2,8,incorrect_any_model,10,0.7,False,True,0.7,0.5333333333333333,0.9942469061033239,0.9944700243757533
0b7d64730d5c0c8d,Colorectal Histology MNIST/Kather_texture_2016_image_tiles_5000/Kather_texture_2016_image_tiles_5000/01_TUMOR/5552_CRC-Prim-HE-02_003b.tif_Row_1_Col_151.tif,CRC-Prim-HE-02,01_TUMOR,0,DINOv2,1,incorrect_any_model,10,1.0,True,False,1.0,1.0,0.9921266228735409,0.9921266228735409
0bc72ae533aca28d,Colorectal Histology MNIST/Kather_texture_2016_image_tiles_5000/Kather_texture_2016_image_tiles_5000/01_TUMOR/63B5_CRC-Prim-HE-04_029.tif_Row_301_Col_151.tif,CRC-Prim-HE-04,01_TUMOR,0,DINOv2,3,incorrect_any_model,10,0.4,False,True,0.6,0.4666666666666667,0.9931458989575639,0.9948956659326496
0c403259b484b95d,Colorectal Histology MNIST/Kather_texture_2016_image_tiles_5000/Kather_texture_2016_image_tiles_5000/06_MUCOSA/1AFF_CRC-Prim-HE-09_001.tif_Row_451_Col_151.tif,CRC-Prim-HE-09,06_MUCOSA,5,DINOv2,8,correct_high_confidence,10,1.0,True,False,1.0,1.0,0.9890989648495088,0.9890989648495088
0dd68f6af37c415e,Colorectal Histology MNIST/Kather_texture_2016_image_tiles_5000/Kather_texture_2016_image_tiles_5000/04_LYMPHO/F864_CRC-Prim-HE-10_011.tif_Row_1_Col_151.tif,CRC-Prim-HE-10,04_LYMPHO,3,DINOv2,9,incorrect_any_model,10,0.0,False,True,1.0,1.0,0.9884151333317396,0.9970954868996929
0e568ddc977738b6,Colorectal Histology MNIST/Kather_texture_2016_image_tiles_5000/Kather_texture_2016_image_tiles_5000/08_EMPTY/1386A_CRC-Prim-HE-06_005.tif_Row_5101_Col_6751.tif,CRC-Prim-HE-06,08_EMPTY,7,DINOv2,5,incorrect_any_model,10,0.3,False,True,0.7,0.5333333333333333,0.9910344731410721,0.9898211529828644
0fd1929553a3bc9a,Colorectal Histology MNIST/Kather_texture_2016_image_tiles_5000/Kather_texture_2016_image_tiles_5000/01_TUMOR/77AC_CRC-Prim-HE-06_025.tif_Row_301_Col_151.tif,CRC-Prim-HE-06,01_TUMOR,0,DINOv2,5,correct_low_confidence,10,1.0,True,False,1.0,1.0,0.9881770248122679,0.9881770248122679
10614386a7d0aba7,Colorectal Histology MNIST/Kather_texture_2016_image_tiles_5000/Kather_texture_2016_image_tiles_5000/04_LYMPHO/16837_CRC-Prim-HE-06.tif_Row_301_Col_451.tif,CRC-Prim-HE-06,04_LYMPHO,3,DINOv2,5,correct_high_confidence,10,1.0,True,False,1.0,1.0,0.9942037947549189,0.9942037947549189
114823381141834d,Colorectal Histology MNIST/Kather_texture_2016_image_tiles_5000/Kather_texture_2016_image_tiles_5000/02_STROMA/12148_CRC-Prim-HE-05_002b.tif_Row_1501_Col_451.tif,CRC-Prim-HE-05,02_STROMA,1,DINOv2,4,incorrect_any_model,10,1.0,True,False,1.0,1.0,0.9933165987988324,0.9933165987988324
11f56476dad8a712,Colorectal Histology MNIST/Kather_texture_2016_image_tiles_5000/Kather_texture_2016_image_tiles_5000/08_EMPTY/12F90_CRC-Prim-HE-10_026.tif_Row_2101_Col_451.tif,CRC-Prim-HE-10,08_EMPTY,7,DINOv2,9,correct_high_confidence,10,1.0,True,False,1.0,1.0,0.9901908356730693,0.9901908356730693
1289f7a4e7da9a8c,Colorectal Histology MNIST/Kather_texture_2016_image_tiles_5000/Kather_texture_2016_image_tiles_5000/02_STROMA/1194D_CRC-Prim-HE-08_018.tif_Row_301_Col_1.tif,CRC-Prim-HE-08,02_STROMA,1,DINOv2,7,correct_high_confidence,10,1.0,True,False,1.0,1.0,0.9958726085774673,0.9958726085774673
12c2dfb57f91416f,Colorectal Histology MNIST/Kather_texture_2016_image_tiles_5000/Kather_texture_2016_image_tiles_5000/04_LYMPHO/D948_CRC-Prim-HE-09_006.tif_Row_1_Col_151.tif,CRC-Prim-HE-09,04_LYMPHO,3,DINOv2,8,incorrect_any_model,10,0.0,False,True,1.0,1.0,0.9929514849021738,0.9973852688283436
13605a3e685f4114,Colorectal Histology MNIST/Kather_texture_2016_image_tiles_5000/Kather_texture_2016_image_tiles_5000/02_STROMA/12164_CRC-Prim-HE-03_003.tif_Row_901_Col_301.tif,CRC-Prim-HE-03,02_STROMA,1,DINOv2,2,incorrect_any_model,10,0.0,False,True,1.0,1.0,0.9883682058011283,0.9880141420097912
14f9264218a7b1c7,Colorectal Histology MNIST/Kather_texture_2016_image_tiles_5000/Kather_texture_2016_image_tiles_5000/08_EMPTY/130E5_CRC-Prim-HE-10_026.tif_Row_1801_Col_451.tif,CRC-Prim-HE-10,08_EMPTY,7,DINOv2,9,correct_low_confidence,10,1.0,True,False,1.0,1.0,0.9872941497306981,0.9872941497306981
1561a0129380bfdd,Colorectal Histology MNIST/Kather_texture_2016_image_tiles_5000/Kather_texture_2016_image_tiles_5000/05_DEBRIS/521A_CRC-Prim-HE-07_002.tif_Row_1051_Col_751.tif,CRC-Prim-HE-07,05_DEBRIS,4,DINOv2,6,incorrect_any_model,10,0.0,False,True,1.0,1.0,0.9722863004371345,0.9498979724650503
15a838224d91aacd,Colorectal Histology MNIST/Kather_texture_2016_image_tiles_5000/Kather_texture_2016_image_tiles_5000/03_COMPLEX/11996_CRC-Prim-HE-07_013.tif_Row_1_Col_301.tif,CRC-Prim-HE-07,03_COMPLEX,2,DINOv2,6,correct_high_confidence,10,0.7,False,True,0.7,0.4888888888888889,0.9678606382739815,0.9705372316829898
1619c7f77e7ca100,Colorectal Histology MNIST/Kather_texture_2016_image_tiles_5000/Kather_texture_2016_image_tiles_5000/02_STROMA/12A26_CRC-Prim-HE-10_019.tif_Row_1_Col_1651.tif,CRC-Prim-HE-10,02_STROMA,1,DINOv2,9,correct_high_confidence,10,1.0,True,False,1.0,1.0,0.9926172192162042,0.9926172192162042
