image_path,label,prediction,confidence,correct,model,seed,relative_path,source_class,class_name,patient_id,slide_id,predicted_class_name,logit_0_adipose,probability_0_adipose,logit_1_background,probability_1_background,logit_2_debris_mucus,probability_2_debris_mucus,logit_3_lymphocytes,probability_3_lymphocytes,logit_4_normal_mucosa,probability_4_normal_mucosa,logit_5_stroma,probability_5_stroma,logit_6_tumor,probability_6_tumor,selection_priority
CRC-VAL-HE-7K/LYM/LYM-TCGA-CLNLNRTQ.tif,3,3,0.9958897,True,DINOv2,11,LYM/LYM-TCGA-CLNLNRTQ.tif,LYM,lymphocytes,NA,NA,lymphocytes,-3.2776005,4.165497e-05,-4.016318,1.9899679e-05,0.42892438,0.0016958612,6.8043704,0.9958897,-0.31190652,0.00080844696,-0.7178184,0.0005387239,-0.093562335,0.0010057202,TRUE
CRC-VAL-HE-7K/LYM/LYM-TCGA-ASNMVAMA.tif,3,3,0.99564266,True,DINOv2,11,LYM/LYM-TCGA-ASNMVAMA.tif,LYM,lymphocytes,NA,NA,lymphocytes,-3.524379,3.4927718e-05,-3.9351938,2.316092e-05,0.3672305,0.0017110977,6.733484,0.99564266,-0.3987737,0.0007954327,-0.6030681,0.0006484546,-0.035125107,0.0011442843,TRUE
CRC-VAL-HE-7K/LYM/LYM-TCGA-HRFTIWDP.tif,3,3,0.9944534,True,DINOv2,11,LYM/LYM-TCGA-HRFTIWDP.tif,LYM,lymphocytes,NA,NA,lymphocytes,-3.9468822,2.1044856e-05,-3.5467184,3.1400377e-05,1.1447188,0.003422945,6.8164105,0.9944534,-1.555532,0.00022998312,-1.2076229,0.00032567987,0.3300352,0.0015156099,TRUE
CRC-VAL-HE-7K/LYM/LYM-TCGA-WMGDKEVA.tif,3,3,0.99424934,True,DINOv2,11,LYM/LYM-TCGA-WMGDKEVA.tif,LYM,lymphocytes,NA,NA,lymphocytes,-4.0805745,1.8724555e-05,-3.7933848,2.4953775e-05,0.9081526,0.0027478177,6.7993336,0.99424934,-1.0802587,0.00037621128,-1.0807151,0.00037603962,0.6889508,0.0022069358,TRUE
CRC-VAL-HE-7K/LYM/LYM-TCGA-FPHDCDVQ.tif,3,2,0.99999356,False,ResNet18,11,LYM/LYM-TCGA-FPHDCDVQ.tif,LYM,lymphocytes,NA,NA,debris_mucus,0.3033858,1.7736019e-06,-3.6002388,3.57712e-08,13.545877,0.99999356,0.5505699,2.2709455e-06,-4.0240197,2.341467e-08,-5.4520173,5.6145706e-09,0.57612485,2.3297287e-06,TRUE
CRC-VAL-HE-7K/LYM/LYM-TCGA-GSPMQCGE.tif,3,2,0.99999094,False,ResNet18,11,LYM/LYM-TCGA-GSPMQCGE.tif,LYM,lymphocytes,NA,NA,debris_mucus,0.60324436,3.8110954e-06,-3.4771369,6.4411395e-08,13.08083,0.99999094,0.21174908,2.5764718e-06,-3.5216107,6.160955e-08,-4.8754587,1.5910343e-08,0.11125509,2.3301359e-06,TRUE
CRC-VAL-HE-7K/LYM/LYM-TCGA-ITDKFHNF.tif,3,2,0.9999833,False,ResNet18,11,LYM/LYM-TCGA-ITDKFHNF.tif,LYM,lymphocytes,NA,NA,debris_mucus,0.78569055,5.4637408e-06,-4.1590114,3.890753e-08,12.90305,0.9999833,1.2674007,8.844929e-06,-2.9080164,1.3593576e-07,-6.1206045,5.471726e-09,-0.07602277,2.3080902e-06,TRUE
CRC-VAL-HE-7K/LYM/LYM-TCGA-CDEVEFQK.tif,3,2,0.9999831,False,ResNet18,11,LYM/LYM-TCGA-CDEVEFQK.tif,LYM,lymphocytes,NA,NA,debris_mucus,0.2069864,3.220718e-06,-3.298095,9.676433e-08,12.852876,0.9999831,1.4620149,1.1298083e-05,-3.040641,1.2517745e-07,-4.651487,2.5000276e-08,-0.19012411,2.1651583e-06,TRUE
CRC-VAL-HE-7K/LYM/LYM-TCGA-RYYFQASI.tif,3,2,0.9278482,False,UNI,11,LYM/LYM-TCGA-RYYFQASI.tif,LYM,lymphocytes,NA,NA,debris_mucus,-0.92760795,0.0049608443,-1.0744174,0.0042834845,4.303684,0.9278482,1.165427,0.040229917,0.27198926,0.016463952,-0.77527934,0.0057771145,-3.3580337,0.00043655117,TRUE
CRC-VAL-HE-7K/LYM/LYM-TCGA-IFIIQIGI.tif,3,2,0.92013824,False,UNI,11,LYM/LYM-TCGA-IFIIQIGI.tif,LYM,lymphocytes,NA,NA,debris_mucus,-1.3415436,0.0049326867,-0.7555809,0.0088626575,3.8870964,0.92013824,0.8170818,0.042713262,-0.60895556,0.01026225,-0.46897423,0.011804176,-2.6854036,0.0012866266,TRUE
CRC-VAL-HE-7K/LYM/LYM-TCGA-RAERIWQS.tif,3,2,0.90652686,False,UNI,11,LYM/LYM-TCGA-RAERIWQS.tif,LYM,lymphocytes,NA,NA,debris_mucus,-1.3427047,0.006728979,-1.396261,0.006378079,3.5604928,0.90652686,0.21862309,0.03206455,-0.0021935622,0.0257114,-0.20378824,0.021017168,-2.7961543,0.0015729828,TRUE
CRC-VAL-HE-7K/LYM/LYM-TCGA-EGMNVDSW.tif,3,2,0.8961316,False,UNI,11,LYM/LYM-TCGA-EGMNVDSW.tif,LYM,lymphocytes,NA,NA,debris_mucus,-1.233189,0.0066823233,-2.4339516,0.0020111424,3.6654327,0.8961316,0.91545063,0.0572888,-0.7955606,0.010351112,-0.081092075,0.021148361,-1.2784351,0.0063867117,TRUE
