cohort_id,path,relative_path,case_id,label,class_name,fold,uni_prediction,uni_predicted_class_name,uni_confidence,uni_correct,cnn_prediction,cnn_predicted_class_name,cnn_confidence,cnn_correct,joint_confidence,both_correct,either_incorrect,cohort_stratum,reference_seed,selection_seed,selected_without_attribution
8e4a21d1b45b86e6,Colorectal Histology MNIST/Kather_texture_2016_image_tiles_5000/Kather_texture_2016_image_tiles_5000/01_TUMOR/27_CRC-Prim-HE-01_041.tif_Row_1_Col_151.tif,01_TUMOR/27_CRC-Prim-HE-01_041.tif_Row_1_Col_151.tif,CRC-Prim-HE-01,0,01_TUMOR,0,0,01_TUMOR,0.9987484,True,0,01_TUMOR,0.9990864,True,0.9989174,True,False,correct_high_confidence,41,2027,True
6dfec46ce602f4f6,Colorectal Histology MNIST/Kather_texture_2016_image_tiles_5000/Kather_texture_2016_image_tiles_5000/01_TUMOR/4E0F_CRC-Prim-HE-01_039.tif_Row_1_Col_901.tif,01_TUMOR/4E0F_CRC-Prim-HE-01_039.tif_Row_1_Col_901.tif,CRC-Prim-HE-01,0,01_TUMOR,0,0,01_TUMOR,0.99928814,True,0,01_TUMOR,0.99995863,True,0.9996234,True,False,correct_high_confidence,41,2027,True
50f0d4586f4e50cd,Colorectal Histology MNIST/Kather_texture_2016_image_tiles_5000/Kather_texture_2016_image_tiles_5000/01_TUMOR/17C99_CRC-Prim-HE-03_034.tif_Row_301_Col_151.tif,01_TUMOR/17C99_CRC-Prim-HE-03_034.tif_Row_301_Col_151.tif,CRC-Prim-HE-03,0,01_TUMOR,2,0,01_TUMOR,0.99973136,True,0,01_TUMOR,0.9999558,True,0.9998436,True,False,correct_high_confidence,41,2027,True
50abad0d894a9a24,Colorectal Histology MNIST/Kather_texture_2016_image_tiles_5000/Kather_texture_2016_image_tiles_5000/01_TUMOR/A77A_CRC-Prim-HE-03_034.tif_Row_151_Col_301.tif,01_TUMOR/A77A_CRC-Prim-HE-03_034.tif_Row_151_Col_301.tif,CRC-Prim-HE-03,0,01_TUMOR,2,0,01_TUMOR,0.9996511,True,0,01_TUMOR,0.99986255,True,0.9997568,True,False,correct_high_confidence,41,2027,True
f84b95d53252404b,Colorectal Histology MNIST/Kather_texture_2016_image_tiles_5000/Kather_texture_2016_image_tiles_5000/01_TUMOR/142DB_CRC-Prim-HE-04_032.tif_Row_151_Col_151.tif,01_TUMOR/142DB_CRC-Prim-HE-04_032.tif_Row_151_Col_151.tif,CRC-Prim-HE-04,0,01_TUMOR,3,0,01_TUMOR,0.9995167,True,0,01_TUMOR,0.99999285,True,0.9997548,True,False,correct_high_confidence,41,2027,True
39f8deff00e87441,Colorectal Histology MNIST/Kather_texture_2016_image_tiles_5000/Kather_texture_2016_image_tiles_5000/01_TUMOR/2D96_CRC-Prim-HE-04_032.tif_Row_601_Col_151.tif,01_TUMOR/2D96_CRC-Prim-HE-04_032.tif_Row_601_Col_151.tif,CRC-Prim-HE-04,0,01_TUMOR,3,0,01_TUMOR,0.99945956,True,0,01_TUMOR,0.99944276,True,0.99945116,True,False,correct_high_confidence,41,2027,True
3c7fb6617412736f,Colorectal Histology MNIST/Kather_texture_2016_image_tiles_5000/Kather_texture_2016_image_tiles_5000/01_TUMOR/16B00_CRC-Prim-HE-05_008.tif_Row_1_Col_451.tif,01_TUMOR/16B00_CRC-Prim-HE-05_008.tif_Row_1_Col_451.tif,CRC-Prim-HE-05,0,01_TUMOR,4,0,01_TUMOR,0.9997199,True,0,01_TUMOR,0.9999429,True,0.99983144,True,False,correct_high_confidence,41,2027,True
220af0321b7b1fc9,Colorectal Histology MNIST/Kather_texture_2016_image_tiles_5000/Kather_texture_2016_image_tiles_5000/01_TUMOR/85AC_CRC-Prim-HE-05_006.tif_Row_301_Col_151.tif,01_TUMOR/85AC_CRC-Prim-HE-05_006.tif_Row_301_Col_151.tif,CRC-Prim-HE-05,0,01_TUMOR,4,0,01_TUMOR,0.9996381,True,0,01_TUMOR,0.99995446,True,0.9997963,True,False,correct_high_confidence,41,2027,True
9e2da9f9b3f082d8,Colorectal Histology MNIST/Kather_texture_2016_image_tiles_5000/Kather_texture_2016_image_tiles_5000/01_TUMOR/5CBC_CRC-Prim-HE-06_016.tif_Row_151_Col_451.tif,01_TUMOR/5CBC_CRC-Prim-HE-06_016.tif_Row_151_Col_451.tif,CRC-Prim-HE-06,0,01_TUMOR,5,0,01_TUMOR,0.9918202,True,0,01_TUMOR,0.99999464,True,0.9959074,True,False,correct_high_confidence,41,2027,True
aa66053db10c2521,Colorectal Histology MNIST/Kather_texture_2016_image_tiles_5000/Kather_texture_2016_image_tiles_5000/01_TUMOR/1067D_CRC-Prim-HE-07_007.tif_Row_1_Col_151.tif,01_TUMOR/1067D_CRC-Prim-HE-07_007.tif_Row_1_Col_151.tif,CRC-Prim-HE-07,0,01_TUMOR,6,0,01_TUMOR,0.9998555,True,0,01_TUMOR,0.99383473,True,0.9968451,True,False,correct_high_confidence,41,2027,True
